Code,1991,2002,2011
703486,1005,853,753
703494,6243,8325,9158
703508,1220,1624,1942
703516,873,810,775
703524,1617,1218,1219
703532,1283,1287,1357
703559,3288,3899,4233
703567,1718,2102,2752
703575,1075,1057,1054
703583,682,551,560
703591,1307,1772,2208
703605,625,523,467
703613,711,620,632
70106,161376,151768,158213
703621,3069,3417,3621
703630,1994,2024,2001
703648,2700,2839,3151
703656,10571,10741,11088
791016,143042,132747,138352
70114,69680,58386,56333
791024,69680,58386,56333
70122,69448,75466,83907
703664,3880,3255,3029
703672,4960,5750,6410
703699,1129,1076,1045
703702,5213,5819,6779
703729,8034,8667,9088
703737,7642,8338,8441
703745,1855,1548,1441
703753,438,380,371
703761,2197,2252,2297
703770,18326,22248,26904
703788,1372,1067,964
703796,7109,8492,10473
703800,1643,1410,1353
703818,2163,2284,2613
703826,3487,2880,2699
70149,140483,132621,151808
791032,140483,132621,151808
70157,146056,152831,168170
703915,4104,7199,10807
791059,141952,145632,157363
70165,58882,58511,58622
703923,830,754,644
703931,1040,877,844
703940,1315,1260,1054
703958,530,497,441
703966,1192,1002,929
703974,409,468,448
703982,4668,4580,4318
704008,832,978,1042
704016,3385,3210,2559
704024,877,919,436
704032,840,777,701
704059,650,582,508
704067,883,796,722
704075,1057,984,834
704083,753,686,580
704091,21978,22732,26006
704105,855,770,779
704113,577,455,442
704121,930,885,811
704130,1095,925,642
704148,1794,1658,1513
704156,1065,1191,1422
704164,339,317,259
704172,1804,1787,1620
704199,,,
704202,608,623,562
704229,2943,3019,2894
704237,370,324,318
704245,302,269,236
704253,830,796,686
704261,276,233,139
704270,1357,1260,1175
704288,1832,2230,2619
704296,666,667,439
70173,56389,52490,53096
704300,866,807,835
704318,314,263,439
704326,177,160,150
704334,2073,1796,1532
704342,3880,3253,2693
704369,2938,2547,2440
704377,1376,1460,1483
704385,1383,1139,1009
704393,2553,2279,1931
704407,4693,4349,4208
704415,1878,1924,1989
704423,384,368,355
704431,689,674,666
704440,2406,2431,2751
704458,23299,22114,23609
704466,1901,1539,1636
704474,922,835,859
704482,1555,1400,1243
704504,1354,1639,1932
704512,571,444,405
704539,221,214,195
704547,956,855,736
70181,224424,217773,214506
791067,224424,217773,214506
70190,70234,70975,72524
704555,584,532,507
704563,5982,6586,6918
704571,1557,1631,1836
704580,454,501,490
704598,911,783,735
704601,1665,1820,1868
704610,750,675,584
704628,3149,2596,2401
704636,1573,1536,1442
704644,1644,1279,1113
704652,2113,2228,2371
704679,6089,6138,6350
704687,713,664,670
704695,1079,909,779
704709,1289,1177,1085
704717,1002,855,774
704725,1265,1665,1805
704733,2151,2313,2424
704741,22748,23929,25429
704750,881,707,603
704768,1227,1008,908
704776,515,455,401
704784,466,603,596
704792,1390,1510,2129
704806,1902,1855,1858
704814,3182,3099,3016
704822,967,917,792
704849,1618,1540,1521
704857,1368,1464,1119
70203,156587,155902,173521
704865,26895,35150,46086
704873,1767,1676,1594
704881,618,603,496
704890,1063,1039,920
704903,2444,2567,2742
704911,10371,9836,9263
704920,1736,1770,1783
791075,111693,103261,110637
70211,97752,99000,108641
791083,97752,99000,108641
70220,47682,42505,39122
791091,47682,42505,39122
70238,20527,20390,20367
704938,278,332,348
704946,755,646,535
704954,675,547,532
704962,845,736,729
704989,1255,1088,973
704997,1857,1701,1769
705004,1472,1479,1391
705012,1933,2058,1992
705039,693,657,619
705047,1492,1545,1679
705055,2580,2858,2933
705063,1271,1046,953
705071,2004,2363,2628
705080,754,686,573
705098,264,254,226
705101,1720,1752,1920
705110,679,642,567
70246,70791,55543,48450
791105,70791,55543,48450
70254,154632,168508,181231
705128,3084,3210,3490
705136,3787,3929,4218
705144,632,493,562
705152,317,310,316
705179,4672,4769,4821
705187,16225,18450,21001
705195,5005,5292,5272
