Code,Opština,Autohtono,Doseljeno,Godina
70017,Aleksandrovac,60.7564508276534,39.2435491723466,1991
70025,Aleksinac,52.5051173043615,47.4948826956385,1991
70033,Aranđelovac,52.2659700985389,47.7340299014611,1991
70041,Arilje,58.5889570552147,41.4110429447853,1991
70050,Babušnica,63.5099958350687,36.4900041649313,1991
70068,Bajina bašta,60.5357748389285,39.4642251610715,1991
70076,Batočina,60.252505186951,39.747494813049,1991
70084,Bela palanka,50.8295071931436,49.1704928068564,1991
70092,Beograd - barajevo,56.7175393284809,43.2824606715191,1991
70106,Beograd - voždovac,52.1766212194616,47.8233787805385,1991
70114,Beograd - vračar,49.3933273378643,50.6066726621357,1991
70122,Beograd - grocka,49.5327927954442,50.4672072045558,1991
70149,Beograd - zvezdara,52.2181401022305,47.7818598977695,1991
70157,Beograd - zemun,49.8822322897649,50.1177677102351,1991
70165,Beograd - lazarevac,54.2279284876096,45.7720715123904,1991
70173,Beograd - mladenovac,57.9466325998165,42.0533674001835,1991
70181,Beograd - novi beograd,42.9740989609599,57.0259010390401,1991
70190,Beograd - obrenovac,52.075886719824,47.924113280176,1991
70203,Beograd - palilula,47.6027911409343,52.3972088590657,1991
70211,Beograd - rakovica,46.6746216165296,53.3253783834705,1991
70220,Beograd - savski venac,47.6482006868747,52.3517993131253,1991
70238,Beograd - sopot,59.1435470359237,40.8564529640763,1991
70246,Beograd - stari grad,50.5729995659094,49.4270004340906,1991
70254,Beograd - čukarica,47.7641725753481,52.2358274246519,1991
70262,Blace,56.5521669341894,43.4478330658106,1991
70289,Bogatić,71.066154754873,28.933845245127,1991
70297,Bojnik,64.5326414697427,35.4673585302574,1991
70319,Boljevac,69.1723813013663,30.8276186986337,1991
70327,Bor,53.2421017063693,46.7578982936307,1991
70335,Bosilegrad,64.6304215027489,35.3695784972511,1991
70343,Brus,63.6221959858324,36.3778040141677,1991
70351,Bujanovac,65.3853735462251,34.6146264537749,1991
70360,Valjevo,52.967510214163,47.032489785837,1991
70378,Varvarin,70.9224655449396,29.0775344550605,1991
70386,Velika plana,62.280701754386,37.719298245614,1991
70394,Veliko gradište,66.7923551809545,33.2076448190455,1991
70408,Vladimirci,68.6901236718342,31.3098763281658,1991
70416,Vladičin han,54.3052994468051,45.6947005531949,1991
70424,Vlasotince,63.1097018905944,36.8902981094056,1991
70432,Vranje,55.2513401674034,44.7486598325966,1991
70459,Vrnjačka banja,49.4993181375414,50.5006818624586,1991
70467,Gadžin han,70.4947409427347,29.5052590572653,1991
70475,Golubac,70.3917790622993,29.6082209377007,1991
70483,Gornji milanovac,53.3679900445586,46.6320099554414,1991
70491,Despotovac,68.3500477554919,31.6499522445081,1991
70505,Dimitrovgrad,46.505698860228,53.4943011397721,1991
70513,Doljevac,70.198966156247,29.8010338437531,1991
70521,Žabari,76.8316831683168,23.1683168316832,1991
70530,Žagubica,84.1897009778984,15.8102990221016,1991
70548,Žitorađa,67.2916880715093,32.7083119284907,1991
70556,Zaječar,53.2114041300393,46.7885958699607,1991
70564,Ivanjica,60.786467486819,39.213532513181,1991
70572,Kladovo,68.8201086783819,31.1798913216181,1991
70599,Knić,62.9811320754717,37.0188679245283,1991
70602,Knjaževac,49.1267229675311,50.8732770324689,1991
70629,Kosjerić,64.6276769925994,35.3723230074006,1991
70637,Koceljeva,65.9704503649202,34.0295496350798,1991
70645,Kragujevac,49.038982133189,50.961017866811,1991
70653,Kraljevo,49.5245909551619,50.4754090448381,1991
70661,Krupanj,68.5015290519878,31.4984709480122,1991
70670,Kruševac,55.4669080344825,44.5330919655175,1991
